SQUEEZIE,"Merci à Deezer d'avoir sponsorisé cette vidéo et le GP Explorer ! Découvrez l'offre spéciale (0,99€ par mois pendant 6 mois, puis 5,99€ par mois pour tous les étudiants) ici : https://DeezerFR.lnk.to/deezerxsqueezie"
Yuelia Shizuka,Merci pour tous ce que vous nous offrez. Continuer de rêver en grand et de nous faire rêver !
eva van gogh,"j'ai jamais vraiment été intéressée par les voitures, les courses ou même le sport en général. J'aime pas non plus spécialement regarder les autres jouer à des jeux.
et pourtant, avec toi squeezie, c'est toujours un plaisir d'observer et de m'intéresser à tout ça. Je ne l'explique pas... je n'aime pas ça mais quand toi tu le partage d'un coup tout mon intérêt est en éveil. Tu partage tellement de joie et d'investissement dans tout ce que tu fait que ça fini par me passionner. 
Bravo à toi pour tout ce que tu fait, pour ce partage et puis surtout pour la personne incroyable que tu es. Plus j'observe ce que tu fait plus je me dit ""ce serait sympa qu'un jour je puisse discuter avec lui en tant qu'ami et plus spectatrice"" Mais pour l'instant je resterais dans l'ombre à me laisser surprendre, à chaque nouvelle vidéo que tu fera, par la passion que tu me partage. 
Je n'écrit pas souvent voir jamais de commentaire mais la j'avais vraiment envie de le partager avec toi! Donc courage! continue comme ça et merci à toi d'être comme tu est!"
Pléonasme,"Vous êtes tous des Boss, vous nous faites rêvez en réalisant vos rêves, merci"
M Psqt,Trop émouvant 🥰
HeRoZ MDz,"Les émotions à travers le lives puis les vidéos et cette vidéo, vous avez des vies de dingue avec des expériences de malades, si seulement on pouvais tous toucher du doigt un jour tout ça rien qu’une fois, je vous envies continuez on a qu’une vie

J’ai dû me retenir plus d’une fois mes larmes depuis le début de ce projet fou*"
Lucie Benoit,"comment j’ai pleuré, pire qu’un film d’amour, sois fier de toi Lukas. Tu es un rayon de soleil pour tout le monde."
Obscurity,Grosse force cetais trop bien ❤❤❤
Dorian Eon,Juste ouf
tarolami,Vous avez fait une erreur on peut voir une plaque d'immatriculation à 16:18
E D,trop fort ce mec rien à redire
Choopachupss,"J'ai pleurée, c'est tellement incroyable ce que vous avez réussi à faire. Ça fait penser aussi au Zevent, on reste devant nos écrans mais on fait des choses de malade ❤
Merci Squeezie pour ce divertissement et ce message qui nous rend fier et merci aux autres créateur ❤"
Fanny Grandjean,"je suis tellement fière de toi, je suis entrain de chialer 😢😢😢 bravo à vous tous"
Dark_Vodkaa,"Je fais partie de la commu silencieuse mais en suivant ce projet et en voyant la vidéo, je peux pas m'empêcher de dire un grand ""Woah"", un grand GG à toute ton équipe et toi. 

Encore la semaine derrière je regardais une de tes anciennes vidéos et en voyant la vidéo aujourd'hui, je suis scotchée de l'évolution et de voir à quel point tu as pu aller loin. 

Bravo à vous"
Will,🔥🔥🔥
gazzu05_exe,rien a foutre je veux ta maison
Mathieu H,Les feels bordel !!
FalconWeip,wow Incroyable. Juste incroyable.
LaFF ImFenVeR,"Incroyable projet squeezie, félicitations pour tout ce que tu nous apportes ! 
De réelles émotions, t’es une légende❤"
Côme Morvan,Mais moi je voulais thread horreur en fait
Adrien,j’adore❤ 😻
Fanny,Incroyable
NekSay11,j'ai toujours dis youtube twitch etc sera la télé de demain mec tu a régaler tout le monde <3
fire uzuoy,Merci à toi squeezie t un boss
Oceane De Lazzari,"Le documentaire est incroyable. Et le GP... wow. Quelle émotion, quelle puissance, quelle bienveillance, quelle ambiance... ❤"
